codigo,nome,cod_OMM,inicio_operacao,lat,lon,alt,summer_offset,utc_offset,time_zone_id,time_zone_name
A408,Itaberaba-A408,86656.0,29/01/2003,-12.524062,-40.299714,250,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A455,Itamaraju-A455,86760.0,28/05/2016,-17.436667,-39.550861,110,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A446,Itapetinga-A446,86723.0,25/06/2009,-15.24462,-40.22955,271,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A407,Itiruçu-A407,86674.0,09/02/2003,-13.527828,-40.119752,757,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A440,Jacobina-A440,86636.0,01/05/2008,-11.205136,-40.464979,441,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A450,Jeremoabo-A450,86605.0,13/08/2015,-10.0807,-38.3459,261,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A425,Lençóis-A425,86654.0,05/04/2008,-12.557854,-41.388808,438,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A404,Luis Eduardo Magalhaes-A404,86651.0,18/04/2002,-12.152394,-45.829745,761,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A412,Macajuba-A412,86655.0,03/02/2003,-12.131694,-40.354222,339,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A454,Macaúbas-A454,86679.0,07/04/2016,-13.0389,-42.6172,574,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A438,Maraú-A438,86677.0,22/06/2008,-13.90694,-38.97222,6,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A411,Paulo Afonso-A411,81993.0,15/02/2003,-9.378106,-38.226771,255,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A430,Piatã-A430,86673.0,03/05/2008,-13.155681,-41.774125,1284,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A449,Pilão Arcado-A449,86604.0,01/04/2016,-10.002261,-42.473641,400,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A427,Porto Seguro-A427,86745.0,10/07/2008,-16.388977,-39.182389,86,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A436,Queimadas-A436,86612.0,23/05/2008,-10.984645,-39.617009,310,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A423,Remanso-A423,81990.0,26/03/2008,-9.625693,-42.077214,397,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A401,Salvador-A401,86678.0,13/05/2000,-13.005515,-38.50576,48,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
A415,Santa Rita de Cássia-A415,86633.0,28/05/2007,-11.002768,-44.524965,450,0.0,-10800.0,America/Fortaleza,Brasilia Standard Time
